ID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	SEGMENTS
151	DirangTshangla	171_toscratch	to scratch	171_toscratch	1436	brat	brat	TB	b r a t
152	DirangTshangla	173_tosee	to see	173_tosee	1409	tʰɔŋ	tʰɔŋ	TB	tʰ ɔ ŋ
99	DirangTshangla	174_theseed	the seed	174_theseed	714	li	li	TB	l i
34	DirangTshangla	175_seven	seven	175_seven	1704	zum	zum	TB	z u m
35	DirangTshangla	176_sharp	sharp	176_sharp	1396	tɕʰat+pu	tɕʰat+pu	TB	tɕʰ a t + p u
153	DirangTshangla	178_toshootanarrow	to shoot (an arrow)	178_toshootanarrow	1172	gap	gap	TB	g a p
36	DirangTshangla	179_short	short	179_short	1645	kʰan+da	kʰan+da	TB	kʰ a n + d a
101	DirangTshangla	180_theshoulder	the shoulder	180_theshoulder	1482	pʰaŋ+ma	pʰaŋ+ma	TB	pʰ a ŋ + m a
154	DirangTshangla	183_tosing	to sing	183_tosing	1261	ŋaŋ ɲur	ŋaŋ+ɲur	TB	ŋ a ŋ + ɲ u r
37	DirangTshangla	184_six	six	184_six	1703	kʰuŋ	kʰuŋ	TB	kʰ u ŋ
102	DirangTshangla	185_theskin	the skin	185_theskin	763	kʰɔp+taŋ	kʰɔp+taŋ	TB	kʰ ɔ p + t a ŋ
103	DirangTshangla	186_thesky	the sky	186_thesky	1732	ŋam	ŋam	TB	ŋ a m
155	DirangTshangla	187_tosleep	to sleep	187_tosleep	1585	ip	ip	TB	i p
38	DirangTshangla	188_small	small	188_small	1246	a+iŋ+za	a+iŋ+za	TB	a + i ŋ + z a
156	DirangTshangla	189_tosmellperceiveodortransitive	to smell (perceive odor) [transitive]	189_tosmellperceiveodortransitive	1586	nam	nam	TB	n a m
47	DirangTshangla	18_thebone	the bone	18_thebone	1394	kʰaŋ	kʰaŋ	TB	kʰ a ŋ
104	DirangTshangla	190_thesmoke	the smoke	190_thesmoke	778	mu+gi	mu+gi	TB	m u + g i
105	DirangTshangla	192_thesnake	the snake	192_thesnake	730	bu+ʨʰi+la	bu+tʃʰi+la	TB	b u + tʃ � i + l a
106	DirangTshangla	193_thesnow	the snow	193_thesnow	784	pʰo+mu	pʰo+mu	TB	pʰ o + m u
39	DirangTshangla	194_soft	soft	194_soft	1856	diu+za	diu+za	TB	d i u + z a
107	DirangTshangla	195_theson	the son	195_theson	1620	za	za	TB	z a
108	DirangTshangla	197_thespider	the spider	197_thespider	843	bu+rɔŋ+bu	bu+rɔŋ+bu	TB	b u + r ɔ ŋ + b u
157	DirangTshangla	198_tospit	to spit	198_tospit	1440	tʰɔp+taŋ pʰir	tʰɔp+taŋ+pʰir	TB	tʰ ɔ p + t a ŋ + pʰ i r
158	DirangTshangla	199_tostand	to stand	199_tostand	1442	tʰiŋ	tʰiŋ	TB	tʰ i ŋ
48	DirangTshangla	19_thebranch	the branch	19_thebranch	1531	ɕiŋ+da	ɕiŋ+da	TB	ɕ i ŋ + d a
109	DirangTshangla	200_thestar	the star	200_thestar	1430	kar+ma	kar+ma	TB	k a r + m a
159	DirangTshangla	201_tosteal	to steal	201_tosteal	713	gro+wan a	gro+wan+a	TB	g r o + w a n + a
110	DirangTshangla	202_thestick	the stick	202_thestick	1295	dɔŋ+raŋ	dɔŋ+raŋ	TB	d ɔ ŋ + r a ŋ
111	DirangTshangla	203_thestoneapieceof	the stone (a piece of)	203_thestoneapieceof	857	luŋ	luŋ	TB	l u ŋ
40	DirangTshangla	204_straight	straight	204_straight	1404	laŋ+bu	laŋ+bu	TB	l a ŋ + b u
112	DirangTshangla	205_thesun	the sun	205_thesun	1343	ŋam	ŋam	TB	ŋ a m
113	DirangTshangla	206_thetail	the tail	206_thetail	1220	ɕam+pʰi	ɕam+pʰi	TB	ɕ a m + pʰ i
41	DirangTshangla	207_ten	ten	207_ten	1515	se	se	TB	s e
49	DirangTshangla	20_thebreastfemale	the breast (female)	20_thebreastfemale	1402	nu	nu	TB	n u
123	DirangTshangla	210_thick	thick	210_thick	1244	tʰɛt+pu	tʰɛt+pu	TB	tʰ ɛ t + p u
114	DirangTshangla	211_thethigh	the thigh	211_thethigh	471	lum+tɕi	lum+tʃi	TB	l u m + tʃ i
124	DirangTshangla	212_thinobject	thin (object)	212_thinobject	2249	ba+lu	ba+lu	TB	b a + l u
160	DirangTshangla	213_tothinkreflect	to think (reflect)	213_tothinkreflect	1415	sam	sam	TB	s a m
125	DirangTshangla	215_thousecondpersonsingular	thou [second person singular]	215_thousecondpersonsingular	1215	nan	nan	TB	n a n
126	DirangTshangla	216_three	three	216_three	492	sam	sam	TB	s a m
161	DirangTshangla	217_tothrow	to throw	217_tothrow	1456	pʰir	pʰir	TB	pʰ i r
115	DirangTshangla	218_thethunder	the thunder	218_thethunder	1150	bruŋ	bruŋ	TB	b r u ŋ
128	DirangTshangla	21_toburnintransitive	to burn [intransitive]	21_toburnintransitive	1428	bar	bar	TB	b a r
116	DirangTshangla	222_thetongue	the tongue	222_thetongue	1205	le	le	TB	l e
117	DirangTshangla	223_thetoothfront	the tooth (front)	223_thetoothfront	1380	ɕa	ɕa	TB	ɕ a
165	DirangTshangla	226_two	two	226_two	1498	ɲi+tsiŋ	ɲi+tsiŋ	TB	ɲ i + ts i ŋ
162	DirangTshangla	227_tovomit	to vomit	227_tovomit	1278	pʰrɔs	pʰrɔs	TB	pʰ r ɔ s
163	DirangTshangla	228_towalk	to walk	228_towalk	1443	daŋ	daŋ	TB	d a ŋ
118	DirangTshangla	229_thewater	the water	229_thewater	948	ri	ri	TB	r i
129	DirangTshangla	22_tobuy	to buy	22_tobuy	1869	lɛŋ	lɛŋ	TB	l ɛ ŋ
166	DirangTshangla	231_wet	wet	231_wet	1726	ɕi+ri	ɕi+ri	TB	ɕ i + r i
167	DirangTshangla	235_white	white	235_white	1335	ba+luŋ+bu	ba+luŋ+bu	TB	b a + l u ŋ + b u
168	DirangTshangla	236_who	who	236_who	1235	si	si	TB	s i
119	DirangTshangla	238_thewind	the wind	238_thewind	960	ri+di	ri+di	TB	r i + d i
120	DirangTshangla	239_thewing	the wing	239_thewing	1257	oi+lɔm	oi+lɔm	TB	o i + l ɔ m
130	DirangTshangla	23_tochew	to chew	23_tochew	321	ŋam	ŋam	TB	ŋ a m
164	DirangTshangla	240_towipe	to wipe	240_towipe	1454	pʰak	pʰak	TB	pʰ a k
121	DirangTshangla	242_thewoman	the woman	242_thewoman	962	ɲi+za	ɲi+za	TB	ɲ i + z a
122	DirangTshangla	245_theyear	the year	245_theyear	1226	ɲiŋ	ɲiŋ	TB	ɲ i ŋ
169	DirangTshangla	246_yellow	yellow	246_yellow	1424	sɛr+bu	sɛr+bu	TB	s ɛ r + b u
100	DirangTshangla	250_theshit	the shit	250_theshit	676	ɕi	ɕi	TB	ɕ i
50	DirangTshangla	25_thecloud	the cloud	25_thecloud	1489	muk+pa	muk+pa	TB	m u k + p a
3	DirangTshangla	26_coldoftemperature	cold (of temperature)	26_coldoftemperature	1287	kʰur+bu	kʰur+bu	TB	kʰ u r + b u
131	DirangTshangla	27_tocome	to come	27_tocome	1446	u	u	TB	u
132	DirangTshangla	29_tocount	to count	29_tocount	1420	kʰa+ɖaŋ a	kʰa+ɖaŋ+a	TB	kʰ a + ɖ a ŋ + a
133	DirangTshangla	30_tocryweep	to cry (weep)	30_tocryweep	1839	gɛp	gɛp	TB	g ɛ p
51	DirangTshangla	33_thedew	the dew	33_thedew	1977	jɔr+nak	jɔr+nak	TB	j ɔ r + n a k
134	DirangTshangla	34_todie	to die	34_todie	1494	ɕi	ɕi	TB	ɕ i
135	DirangTshangla	35_todig	to dig	35_todig	1418	bak	bak	TB	b a k
4	DirangTshangla	36_dirty	dirty	36_dirty	1230	ʑei lok+pan	ʑei+lok+pan	TB	ʑ ei + l o k + p a n
52	DirangTshangla	37_thedog	the dog	37_thedog	2009	kʰu	kʰu	TB	kʰ u
53	DirangTshangla	38_thedream	the dream	38_thedream	2374	mɔŋ+ɕu	mɔŋ+ɕu	TB	m ɔ ŋ + ɕ u
136	DirangTshangla	39_todrink	to drink	39_todrink	1401	ʥam	dʒam	TB	dʒ a m
42	DirangTshangla	3_theant	the ant	3_theant	587	kʰaŋ+dʑi+la	kʰaŋ+dʒi+la	TB	kʰ a ŋ + dʒ i + l a
5	DirangTshangla	40_dry	dry	40_dry	1398	saŋ+bu	saŋ+bu	TB	s a ŋ + b u
54	DirangTshangla	41_thedust	the dust	41_thedust	2	dui+pa	dui+pa	TB	d u i + p a
55	DirangTshangla	42_theear	the ear	42_theear	1247	nei+gaŋ	nei+gaŋ	TB	n ei + g a ŋ
56	DirangTshangla	44_theearthsoil	the earth (soil)	44_theearthsoil	1228	sa	sa	TB	s a
137	DirangTshangla	46_toeat	to eat	46_toeat	1336	za	za	TB	z a
57	DirangTshangla	47_theegg	the egg	47_theegg	744	goi+tʰam	goi+tʰam	TB	g o i + tʰ a m
6	DirangTshangla	48_eight	eight	48_eight	1705	jɛn	jɛn	TB	j ɛ n
58	DirangTshangla	49_theeye	the eye	49_theeye	1248	miŋ	miŋ	TB	m i ŋ
7	DirangTshangla	50_far	far	50_far	1406	tʰa riŋ+bu	tʰa+riŋ+bu	TB	tʰ a + r i ŋ + b u
138	DirangTshangla	53_tofight	to fight	53_tofight	1423	kʰo+kʰo a	kʰo+kʰo+a	TB	kʰ o + kʰ o + a
59	DirangTshangla	54_thefire	the fire	54_thefire	221	mi	mi	TB	m i
60	DirangTshangla	56_thefish	the fish	56_thefish	227	ŋa	ŋa	TB	ŋ a
8	DirangTshangla	57_five	five	57_five	493	ŋa	ŋa	TB	ŋ a
61	DirangTshangla	61_theflower	the flower	61_theflower	239	mɔm+naŋ	mɔm+naŋ	TB	m ɔ m + n a ŋ
139	DirangTshangla	62_toflymovethroughair	to fly (move through air)	62_toflymovethroughair	1441	psi+daŋ	psi+daŋ	TB	ps i + d a ŋ
62	DirangTshangla	64_thefoot	the foot	64_thefoot	1301	bi+bak+taŋ	bi+bak+taŋ	TB	b i + b a k + t a ŋ
63	DirangTshangla	65_theforest	the forest	65_theforest	420	mun	mun	TB	m u n
140	DirangTshangla	66_toforget	to forget	66_toforget	1523	ŋat	ŋat	TB	ŋ a t
9	DirangTshangla	67_four	four	67_four	1500	bi+tʃi	bi+tʃi	TB	b i + tʃ i
64	DirangTshangla	69_thefrog	the frog	69_thefrog	503	tak+tak+pa	tak+tak+pa	TB	t a k + t a k + p a
43	DirangTshangla	6_thebamboo	the bamboo	6_thebamboo	1927	ɕi	ɕi	TB	ɕ i
65	DirangTshangla	70_thefrontfrontside	the front (front side)	70_thefrontfrontside	2194	gum	gum	TB	g u m
66	DirangTshangla	72_thefruit	the fruit	72_thefruit	1507	kʰap+zas	kʰap+zas	TB	kʰ a p + z a s
10	DirangTshangla	73_full	full	73_full	1429	pʰuŋ+bei	pʰuŋ+bei	TB	pʰ u ŋ + b ei
141	DirangTshangla	74_togive	to give	74_togive	1447	bi	bi	TB	b i
67	DirangTshangla	75_thegoat	the goat	75_thegoat	1502	ra+wa	ra+wa	TB	r a + w a
11	DirangTshangla	76_good	good	76_good	1035	pʰe+lu	pʰe+lu	TB	pʰ e + l u
12	DirangTshangla	78_green	green	78_green	1425	jaŋ+lu	jaŋ+lu	TB	j a ŋ + l u
68	DirangTshangla	79_thehail	the hail	79_thehail	609	sɛr+ba	sɛr+ba	TB	s ɛ r + b a
69	DirangTshangla	80_thehairofthehead	the hair (of the head)	80_thehairofthehead	1040	ʦʰam	ʦʰam	TB	ʦʰ a m
70	DirangTshangla	81_thehand	the hand	81_thehand	1277	ga+raŋ	ga+raŋ	TB	g a + r a ŋ
13	DirangTshangla	82_hard	hard	82_hard	1884	kak+ta+ra	kak+ta+ra	TB	k a k + t a + r a
14	DirangTshangla	83_heorshethirdpersonsingular	he or she [third person singular]	83_heorshethirdpersonsingular	262	dan	dan	TB	d a n
71	DirangTshangla	84_thehead	the head	84_thehead	1256	ɕa+raŋ	ɕa+raŋ	TB	ɕ a + r a ŋ
142	DirangTshangla	85_tohear	to hear	85_tohear	1408	tʰa	tʰa	TB	tʰ a
72	DirangTshangla	86_theheart	the heart	86_theheart	1223	tʰim+luŋ	tʰim+luŋ	TB	tʰ i m + l u ŋ
15	DirangTshangla	87_heavy	heavy	87_heavy	1210	ʨʰit+pu	tʃʰit+pu	TB	tʃ � i t + p u
143	DirangTshangla	89_tohideconceal	to hide (conceal)	89_tohideconceal	602	gum	gum	TB	g u m
144	DirangTshangla	91_tohold	to hold	91_tohold	1448	ʦʰuŋ	ʦʰuŋ	TB	ʦʰ u ŋ
73	DirangTshangla	94_thehornkeratinizedskin	the horn (keratinized skin)	94_thehornkeratinizedskin	1393	wa+rɔŋ	wa+rɔŋ	TB	w a + r ɔ ŋ
16	DirangTshangla	96_hot	hot	96_hot	1286	tsʰou	tsʰou	TB	tsʰ ou
74	DirangTshangla	97_thehouse	the house	97_thehouse	1252	pʰei	pʰei	TB	pʰ ei
44	DirangTshangla	9_thebelly	the belly	9_thebelly	1251	pʰu+tɕi	pʰu+tɕi	TB	pʰ u + tɕ i
